"","hour","wday","count"
"1","00","Friday",3499
"2","00","Monday",2219
"3","00","Saturday",6441
"4","00","Sunday",6324
"5","00","Thursday",2425
"6","00","Tuesday",1806
"7","00","Wednesday",2253
"8","01","Friday",1836
"9","01","Monday",1002
"10","01","Saturday",4040
"11","01","Sunday",4610
"12","01","Thursday",1069
"13","01","Tuesday",745
"14","01","Wednesday",1009
"15","02","Friday",952
"16","02","Monday",586
"17","02","Saturday",2685
"18","02","Sunday",3051
"19","02","Thursday",548
"20","02","Tuesday",359
"21","02","Wednesday",413
"22","03","Friday",419
"23","03","Monday",287
"24","03","Saturday",1341
"25","03","Sunday",1698
"26","03","Thursday",290
"27","03","Tuesday",221
"28","03","Wednesday",255
"29","04","Friday",537
"30","04","Monday",464
"31","04","Saturday",616
"32","04","Sunday",664
"33","04","Thursday",439
"34","04","Tuesday",491
"35","04","Wednesday",535
"36","05","Friday",3588
"37","05","Monday",3329
"38","05","Saturday",802
"39","05","Sunday",691
"40","05","Thursday",3794
"41","05","Tuesday",4112
"42","05","Wednesday",4578
"43","06","Friday",11296
"44","06","Monday",11511
"45","06","Saturday",2316
"46","06","Sunday",1811
"47","06","Thursday",13306
"48","06","Tuesday",14254
"49","06","Wednesday",14903
"50","07","Friday",31917
"51","07","Monday",32365
"52","07","Saturday",5818
"53","07","Sunday",4385
"54","07","Thursday",35895
"55","07","Tuesday",38146
"56","07","Wednesday",39717
"57","08","Friday",51709
"58","08","Monday",46761
"59","08","Saturday",12691
"60","08","Sunday",9668
"61","08","Thursday",53704
"62","08","Tuesday",54437
"63","08","Wednesday",55388
"64","09","Friday",26948
"65","09","Monday",23975
"66","09","Saturday",21457
"67","09","Sunday",18052
"68","09","Thursday",25591
"69","09","Tuesday",24540
"70","09","Wednesday",26060
"71","10","Friday",17070
"72","10","Monday",15308
"73","10","Saturday",28276
"74","10","Sunday",27866
"75","10","Thursday",14619
"76","10","Tuesday",14349
"77","10","Wednesday",14858
"78","11","Friday",20507
"79","11","Monday",17937
"80","11","Saturday",34157
"81","11","Sunday",33920
"82","11","Thursday",16889
"83","11","Tuesday",16322
"84","11","Wednesday",17087
"85","12","Friday",25281
"86","12","Monday",21440
"87","12","Saturday",38246
"88","12","Sunday",38263
"89","12","Thursday",20666
"90","12","Tuesday",20193
"91","12","Wednesday",20938
"92","13","Friday",26450
"93","13","Monday",21416
"94","13","Saturday",39206
"95","13","Sunday",38404
"96","13","Thursday",20414
"97","13","Tuesday",19496
"98","13","Wednesday",20354
"99","14","Friday",25610
"100","14","Monday",19872
"101","14","Saturday",38846
"102","14","Sunday",38416
"103","14","Thursday",18844
"104","14","Tuesday",18362
"105","14","Wednesday",19315
"106","15","Friday",29623
"107","15","Monday",22761
"108","15","Saturday",37804
"109","15","Sunday",37535
"110","15","Thursday",23006
"111","15","Tuesday",21936
"112","15","Wednesday",22525
"113","16","Friday",40716
"114","16","Monday",33775
"115","16","Saturday",35913
"116","16","Sunday",35780
"117","16","Thursday",35393
"118","16","Tuesday",35239
"119","16","Wednesday",36095
"120","17","Friday",56673
"121","17","Monday",59779
"122","17","Saturday",33140
"123","17","Sunday",31865
"124","17","Thursday",62061
"125","17","Tuesday",64950
"126","17","Wednesday",64934
"127","18","Friday",43205
"128","18","Monday",49599
"129","18","Saturday",28301
"130","18","Sunday",26984
"131","18","Thursday",53997
"132","18","Tuesday",54409
"133","18","Wednesday",54470
"134","19","Friday",28574
"135","19","Monday",31289
"136","19","Saturday",22784
"137","19","Sunday",20817
"138","19","Thursday",34041
"139","19","Tuesday",35019
"140","19","Wednesday",35869
"141","20","Friday",19790
"142","20","Monday",21448
"143","20","Saturday",17759
"144","20","Sunday",15688
"145","20","Thursday",23902
"146","20","Tuesday",23581
"147","20","Wednesday",24784
"148","21","Friday",15080
"149","21","Monday",14432
"150","21","Saturday",13990
"151","21","Sunday",10871
"152","21","Thursday",16319
"153","21","Tuesday",16498
"154","21","Wednesday",16732
"155","22","Friday",12053
"156","22","Monday",9004
"157","22","Saturday",10993
"158","22","Sunday",7859
"159","22","Thursday",11247
"160","22","Tuesday",10991
"161","22","Wednesday",11214
"162","23","Friday",8698
"163","23","Monday",4592
"164","23","Saturday",8538
"165","23","Sunday",4384
"166","23","Thursday",6475
"167","23","Tuesday",5329
"168","23","Wednesday",5833
