"","hour","wday","count"
"1","00","Friday",721
"2","00","Monday",843
"3","00","Saturday",1480
"4","00","Sunday",1740
"5","00","Thursday",559
"6","00","Tuesday",419
"7","00","Wednesday",563
"8","01","Friday",446
"9","01","Monday",379
"10","01","Saturday",886
"11","01","Sunday",1136
"12","01","Thursday",326
"13","01","Tuesday",236
"14","01","Wednesday",315
"15","02","Friday",241
"16","02","Monday",216
"17","02","Saturday",584
"18","02","Sunday",742
"19","02","Thursday",196
"20","02","Tuesday",106
"21","02","Wednesday",128
"22","03","Friday",93
"23","03","Monday",72
"24","03","Saturday",338
"25","03","Sunday",428
"26","03","Thursday",98
"27","03","Tuesday",65
"28","03","Wednesday",67
"29","04","Friday",67
"30","04","Monday",68
"31","04","Saturday",155
"32","04","Sunday",205
"33","04","Thursday",58
"34","04","Tuesday",64
"35","04","Wednesday",69
"36","05","Friday",167
"37","05","Monday",190
"38","05","Saturday",185
"39","05","Sunday",214
"40","05","Thursday",153
"41","05","Tuesday",153
"42","05","Wednesday",235
"43","06","Friday",492
"44","06","Monday",508
"45","06","Saturday",469
"46","06","Sunday",512
"47","06","Thursday",495
"48","06","Tuesday",525
"49","06","Wednesday",662
"50","07","Friday",1413
"51","07","Monday",1292
"52","07","Saturday",1086
"53","07","Sunday",1176
"54","07","Thursday",1214
"55","07","Tuesday",1401
"56","07","Wednesday",1629
"57","08","Friday",2536
"58","08","Monday",2491
"59","08","Saturday",2639
"60","08","Sunday",2694
"61","08","Thursday",2288
"62","08","Tuesday",2366
"63","08","Wednesday",2483
"64","09","Friday",3505
"65","09","Monday",3594
"66","09","Saturday",5834
"67","09","Sunday",6001
"68","09","Thursday",2772
"69","09","Tuesday",2861
"70","09","Wednesday",3047
"71","10","Friday",5201
"72","10","Monday",5363
"73","10","Saturday",9429
"74","10","Sunday",10090
"75","10","Thursday",4029
"76","10","Tuesday",4101
"77","10","Wednesday",4087
"78","11","Friday",6652
"79","11","Monday",6553
"80","11","Saturday",12610
"81","11","Sunday",13126
"82","11","Thursday",4883
"83","11","Tuesday",4872
"84","11","Wednesday",5012
"85","12","Friday",7457
"86","12","Monday",7049
"87","12","Saturday",14925
"88","12","Sunday",14870
"89","12","Thursday",5239
"90","12","Tuesday",5463
"91","12","Wednesday",5285
"92","13","Friday",8309
"93","13","Monday",7161
"94","13","Saturday",16781
"95","13","Sunday",15725
"96","13","Thursday",5341
"97","13","Tuesday",5475
"98","13","Wednesday",5507
"99","14","Friday",8744
"100","14","Monday",7211
"101","14","Saturday",17384
"102","14","Sunday",16290
"103","14","Thursday",5791
"104","14","Tuesday",6037
"105","14","Wednesday",5978
"106","15","Friday",8877
"107","15","Monday",7085
"108","15","Saturday",16434
"109","15","Sunday",15796
"110","15","Thursday",6163
"111","15","Tuesday",5991
"112","15","Wednesday",6082
"113","16","Friday",9112
"114","16","Monday",7076
"115","16","Saturday",15670
"116","16","Sunday",14239
"117","16","Thursday",6618
"118","16","Tuesday",6413
"119","16","Wednesday",6510
"120","17","Friday",9126
"121","17","Monday",7415
"122","17","Saturday",14052
"123","17","Sunday",11998
"124","17","Thursday",7522
"125","17","Tuesday",7443
"126","17","Wednesday",7557
"127","18","Friday",6971
"128","18","Monday",6280
"129","18","Saturday",10601
"130","18","Sunday",9462
"131","18","Thursday",6517
"132","18","Tuesday",5941
"133","18","Wednesday",6366
"134","19","Friday",5620
"135","19","Monday",4864
"136","19","Saturday",8214
"137","19","Sunday",6974
"138","19","Thursday",4830
"139","19","Tuesday",4706
"140","19","Wednesday",5088
"141","20","Friday",4567
"142","20","Monday",3785
"143","20","Saturday",6630
"144","20","Sunday",5265
"145","20","Thursday",3652
"146","20","Tuesday",3504
"147","20","Wednesday",3767
"148","21","Friday",3774
"149","21","Monday",2701
"150","21","Saturday",4966
"151","21","Sunday",3822
"152","21","Thursday",2609
"153","21","Tuesday",2646
"154","21","Wednesday",2609
"155","22","Friday",3114
"156","22","Monday",1996
"157","22","Saturday",3752
"158","22","Sunday",2555
"159","22","Thursday",1852
"160","22","Tuesday",1810
"161","22","Wednesday",1904
"162","23","Friday",2044
"163","23","Monday",1013
"164","23","Saturday",2531
"165","23","Sunday",1368
"166","23","Thursday",1058
"167","23","Tuesday",937
"168","23","Wednesday",1000
